Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
09/09/2000,Cincinnati,12,35,155,35,16,188,0,2,Syracuse,10,37,105,30,21,221,2,1
09/09/2000,Clemson,62,50,206,24,15,275,0,1,Missouri,9,36,72,28,14,144,3,3
09/09/2000,Central Michigan,17,50,171,19,9,173,0,0,Akron,7,39,184,24,8,68,2,0
09/09/2000,Colorado,14,38,137,27,17,231,0,1,Southern Cal,17,38,158,31,25,275,1,0
09/09/2000,Colorado State,41,43,297,34,22,219,1,1,East Tennessee St,7,36,127,25,13,154,1,3
09/09/2000,Duke,5,32,44,32,11,130,4,0,Northwestern,38,52,259,30,18,213,0,0
09/09/2000,East Carolina,28,39,87,47,23,331,3,0,Virginia Tech,45,36,205,16,9,106,0,1
09/09/2000,Eastern Michigan,17,32,135,43,23,228,1,0,"Miami, Ohio",34,42,179,29,13,232,1,1
09/09/2000,Florida,55,30,158,41,26,299,1,2,Mid Tennessee St,0,35,90,32,17,139,1,4
09/09/2000,Fresno State,21,23,26,33,20,249,0,1,U.C.L.A.,24,48,135,33,17,135,0,0
09/09/2000,Florida State,26,34,73,40,26,463,1,1,Georgia Tech,21,34,79,37,22,219,0,0
09/09/2000,Georgia,10,28,94,24,10,108,5,0,South Carolina,21,43,133,28,18,154,1,0
09/09/2000,Georgia Tech,21,34,79,37,22,219,0,0,Florida State,26,34,73,40,26,463,1,1
09/09/2000,Houston,13,27,84,54,29,354,2,2,Louisiana State,28,39,120,26,12,177,2,1
09/09/2000,Iowa State,37,42,150,31,16,286,1,0,Nevada-Las Vegas,22,47,197,25,9,190,1,1
09/09/2000,Idaho,38,39,131,47,31,303,3,0,Montana,45,19,48,52,33,505,0,2
09/09/2000,Illinois,49,44,259,26,19,158,0,2,San Diego State,13,34,99,36,19,151,2,0
09/09/2000,Indiana,38,44,236,27,14,240,0,1,No Carolina State,41,23,73,52,31,401,1,0
09/09/2000,Iowa,21,31,49,34,23,314,0,2,Western Michigan,27,36,59,31,21,294,1,1
09/09/2000,Kent State,10,33,129,30,20,190,0,1,Purdue,45,37,168,54,36,437,1,2
09/09/2000,Kentucky,27,30,145,58,30,382,1,0,South Florida,9,36,134,24,19,81,1,1
09/09/2000,Louisville,52,39,226,26,22,202,1,2,Grambling,0,37,-56,33,13,116,1,2
09/09/2000,Louisiana State,28,39,120,26,12,177,2,1,Houston,13,27,84,54,29,354,2,2
09/09/2000,Louisiana Tech,7,19,45,33,16,122,5,2,Penn State,67,63,299,22,16,194,0,2
09/09/2000,Marshall,24,19,51,44,27,227,3,1,Michigan State,34,43,221,31,21,212,2,1
09/09/2000,Michigan State,34,43,221,31,21,212,2,1,Marshall,24,19,51,44,27,227,3,1
09/09/2000,Maryland,17,36,100,23,11,154,0,3,Temple,10,36,104,37,25,339,1,1
09/09/2000,Memphis,28,46,180,24,13,98,0,2,UL-Monroe,0,19,44,43,17,132,2,1
09/09/2000,"Miami, Florida",29,33,158,34,15,215,0,3,Washington,34,46,128,31,18,223,2,1
09/09/2000,"Miami, Ohio",34,42,179,29,13,232,1,1,Eastern Michigan,17,32,135,43,23,228,1,0
09/09/2000,Michigan,38,49,230,19,13,166,0,0,Rice,7,46,164,11,5,107,0,2
09/09/2000,Minnesota,17,26,147,28,10,223,1,1,Ohio,23,73,363,9,3,90,0,0
09/09/2000,Mississippi,27,32,152,26,11,105,3,0,Auburn,35,51,261,27,13,160,0,1
09/09/2000,Missouri,9,36,72,28,14,144,3,3,Clemson,62,50,206,24,15,275,0,1
09/09/2000,Mid Tennessee St,0,35,90,32,17,139,1,4,Florida,55,30,158,41,26,299,1,2
09/09/2000,North Carolina,35,49,129,13,7,194,0,1,Wake Forest,14,40,-2,34,14,164,0,1
09/09/2000,No Carolina State,41,23,73,52,31,401,1,0,Indiana,38,44,236,27,14,240,0,1
09/09/2000,Notre Dame,24,40,184,15,3,40,1,0,Nebraska,27,59,274,15,7,103,1,0
09/09/2000,Nebraska,27,59,274,15,7,103,1,0,Notre Dame,24,40,184,15,3,40,1,0
09/09/2000,UL-Monroe,0,19,44,43,17,132,2,1,Memphis,28,46,180,24,13,98,0,2
09/09/2000,Nevada,10,36,11,47,23,259,0,1,Texas Christian,41,55,317,10,3,53,2,2
09/09/2000,Northern Illinois,52,65,305,18,9,117,1,0,Illinois State,0,28,73,28,12,134,4,0
09/09/2000,New Mexico,20,31,42,21,12,130,2,1,Oregon State,28,49,222,28,12,78,0,1
09/09/2000,North Texas,7,33,49,13,6,107,0,2,Texas Tech,13,29,80,55,42,238,3,0
09/09/2000,Northwestern,38,52,259,30,18,213,0,0,Duke,5,32,44,32,11,130,4,0
09/09/2000,Ohio,23,73,363,9,3,90,0,0,Minnesota,17,26,147,28,10,223,1,1
09/09/2000,Ohio State,27,40,101,20,12,240,1,2,Arizona,17,39,57,23,11,137,0,1
09/09/2000,Oklahoma,45,35,208,34,26,325,1,0,Arkansas State,7,21,84,33,21,191,1,0
09/09/2000,Oklahoma State,36,38,247,20,11,166,0,1,Tulsa,26,30,62,49,28,373,1,2
09/09/2000,Oregon,23,25,92,49,22,362,3,0,Wisconsin,27,43,302,13,5,65,1,0
09/09/2000,Oregon State,28,49,222,28,12,78,0,1,New Mexico,20,31,42,21,12,130,2,1
09/09/2000,Penn State,67,63,299,22,16,194,0,2,Louisiana Tech,7,19,45,33,16,122,5,2
09/09/2000,Pittsburgh,34,35,36,32,22,321,0,3,Bowling Green,16,39,35,39,19,197,1,1
09/09/2000,Purdue,45,37,168,54,36,437,1,2,Kent State,10,33,129,30,20,190,0,1
09/09/2000,Rice,7,46,164,11,5,107,0,2,Michigan,38,49,230,19,13,166,0,0
09/09/2000,Rutgers,59,39,187,29,19,266,0,1,Buffalo,0,37,-7,45,24,223,1,3
09/09/2000,Southern Cal,17,38,158,31,25,275,1,0,Colorado,14,38,137,27,17,231,0,1
09/09/2000,South Carolina,21,43,133,28,18,154,1,0,Georgia,10,28,94,24,10,108,5,0
09/09/2000,San Diego State,13,34,99,36,19,151,2,0,Illinois,49,44,259,26,19,158,0,2
09/09/2000,San Jose State,40,34,284,30,18,199,0,1,Stanford,27,44,241,42,18,373,1,2
09/09/2000,Southern Methodist,20,24,75,46,22,420,2,0,Texas-El Paso,37,47,204,19,13,206,0,0
09/09/2000,Stanford,27,44,241,42,18,373,1,2,San Jose State,40,34,284,30,18,199,0,1
09/09/2000,UL-Lafayette,10,42,68,34,17,183,2,0,Texas,52,23,87,40,25,403,1,1
09/09/2000,Syracuse,10,37,105,30,21,221,2,1,Cincinnati,12,35,155,35,16,188,0,2
09/09/2000,Texas Christian,41,55,317,10,3,53,2,2,Nevada,10,36,11,47,23,259,0,1
09/09/2000,Temple,10,36,104,37,25,339,1,1,Maryland,17,36,100,23,11,154,0,3
09/09/2000,Texas,52,23,87,40,25,403,1,1,UL-Lafayette,10,42,68,34,17,183,2,0
09/09/2000,Toledo,51,45,205,27,18,201,0,1,Weber State,0,35,22,35,17,198,2,3
09/09/2000,Texas Tech,13,29,80,55,42,238,3,0,North Texas,7,33,49,13,6,107,0,2
09/09/2000,Tulsa,26,30,62,49,28,373,1,2,Oklahoma State,36,38,247,20,11,166,0,1
09/09/2000,Texas A & M,51,37,191,25,16,299,0,2,Wyoming,3,42,83,32,17,130,1,2
09/09/2000,Alabama-Birmingham,20,38,177,28,13,223,2,3,Chattanooga,15,29,25,43,24,272,2,1
09/09/2000,U.C.L.A.,24,48,135,33,17,135,0,0,Fresno State,21,23,26,33,20,249,0,1
09/09/2000,Nevada-Las Vegas,22,47,197,25,9,190,1,1,Iowa State,37,42,150,31,16,286,1,0
